"Record Number","Record Type","License Name","Address","Expiration Date","Status","Notes","Disciplinary Action",
"AU-ER-000642","Adult-Use Entity Registration - License","Heritage Farms Manistee LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000652","Adult-Use Entity Registration - License","Wish Pontiac, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000647","Adult-Use Entity Registration - License","Hayat Quality Provisioning I Inc",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000634","Adult-Use Entity Registration - License","989 Ventures, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000252","Class C Marihuana Grower - License","DIAMOND CUT FARMS","3208 Patterson RD, Bay City MI 48706","10/27/2023","Active",,,
"AU-R-000321","Marihuana Retailer - License","Fire Creek","846 E. Columbia AVE, Battle Creek MI 49014","10/27/2023","Active",,"Public Documents Available",
"AU-ER-000638","Adult-Use Entity Registration - License","Symponia Farms Inc.",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000636","Adult-Use Entity Registration - License","Swift Cultivation L.L.C.",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000643","Adult-Use Entity Registration - License","MLL William, Inc.",,"11/22/2023","Active - Main Prequalified",,,
"AU-ER-000635","Adult-Use Entity Registration - License","Canna Bee Extracts LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000632","Adult-Use Entity Registration - License","313 MI Ventures, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000605","Adult-Use Entity Registration - License","MI Loud Flower Farms, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-B-000116","Class B Marihuana Grower - License","CANNA BROZ","15403 SHARON RD Unit A, Chesaning MI 48616","10/22/2021","License Void",,,
"AU-ER-000613","Adult-Use Entity Registration - License","Bullit Properties, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000250","Class C Marihuana Grower - License","FLURESH LLC","1213 Phillips SW AVE, Grand Rapids MI 49507","04/20/2023","Active",,,
"AU-SC-000112","Marihuana Safety Compliance Facility - License","Cambium Analytica","1230 Woodmere AVE, Traverse City MI 49686","10/20/2023","Active",,,
"AU-R-000323","Marihuana Retailer - License","Jars Cannabis River Rouge","11347 W Jefferson AVE, River Rouge MI 48218","10/20/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-P-000138","Marihuana Processor - License","Gage Cannabis Company","41455 Production DR, Harrison Township MI 48045","06/04/2023","Active",,"Public Documents Available",
"AU-ER-000569","Adult-Use Entity Registration - License","Graceful Laboratories HP LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000622","Adult-Use Entity Registration - License","MPM-R Hazel Park LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000565","Adult-Use Entity Registration - License","West Michigan Cannabis Cultivation, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000615","Adult-Use Entity Registration - License","Exclusive Healing, INC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000627","Adult-Use Entity Registration - License","Central Coast Horticultural LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000608","Adult-Use Entity Registration - License","Green Labs, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000224","Class C Marihuana Grower - License","Terrapin MI","2055 Oak Industrial NE DR, Grand Rapids MI 49505","10/16/2022","License Void",,,
"AU-G-C-000225","Class C Marihuana Grower - License","Terrapin MI","2055 Oak Industrial NE DR, Grand Rapids MI 49505","10/16/2022","License Void",,,
"AU-ER-000607","Adult-Use Entity Registration - License","Pure, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000606","Adult-Use Entity Registration - License","Cannrose, Inc.",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-B-000114","Class B Marihuana Grower - License","ADAMS FAMILY FARMS LLC","1832 LAWRENCE RD, HASTINGS MI 49058","10/14/2023","Active",,"Public Documents Available",
"AU-ER-000598","Adult-Use Entity Registration - License","Yuma Way MI LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000242","Class C Marihuana Grower - License","HG Lansing, LLC","1202 E. Oakland AVE, Lansing MI 48906","02/25/2021","License Void",,,
"AU-ER-000600","Adult-Use Entity Registration - License","BR Laboratory of Chesaning LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000317","Marihuana Retailer - License","Cloud Cannabis Company","1760 Plymouth RD, Ann Arbor MI 48105","10/08/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-R-000316","Marihuana Retailer - License","Pleasantrees Cannabis Company","2238 Holbrook AVE, Hamtramck MI 48212","02/19/2024","Active","Home Delivery - Approved",,
"AU-SC-000107","Marihuana Safety Compliance Facility - License","Iron Laboratories LLC","1825 E West Maple RD Suite A, Walled Lake MI 48390","10/08/2023","Active",,"Public Documents Available",
"AU-ER-000568","Adult-Use Entity Registration - License","Acme Alternative Health, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-EX-000114","Excess Marihuana Grower - License","High Life Farms","624 Brady ST Suite A, Chesaning MI 48616","12/20/2022","License Void",,"Public Documents Available",
"AU-G-EX-000113","Excess Marihuana Grower - License","High Life Farms","624 Brady ST Suite A, Chesaning MI 48616","12/20/2022","License Void",,"Public Documents Available",
"AU-G-EX-000112","Excess Marihuana Grower - License","High Life Farms","624 Brady ST Suite A, Chesaning MI 48616","12/20/2022","License Void",,"Public Documents Available",
"AU-ER-000597","Adult-Use Entity Registration - License","Skozee, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000319","Marihuana Retailer - License","FLURESH","1213 Phillips SW AVE, Grand Rapids MI 49507","04/20/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-G-C-000238","Class C Marihuana Grower - License","High Life Farms","624 Brady ST Suite A, Chesaning MI 48616","12/20/2022","License Void",,"Public Documents Available",
"AU-G-C-000237","Class C Marihuana Grower - License","High Life Farms","624 Brady ST Suite A, Chesaning MI 48616","12/20/2022","License Void",,"Public Documents Available",
"AU-P-000141","Marihuana Processor - License","Redbud Roots Lab IV, LLC","455 Post RD, Buchanan MI 49107","02/10/2024","Active",,,
"AU-G-EX-000125","Excess Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-G-EX-000124","Excess Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-ER-000589","Adult-Use Entity Registration - License","KULA Farms LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000249","Class C Marihuana Grower - License","Freedom Green Farms, LLC","1689 Enterprise DR, Kalkaska MI 49646","09/01/2023","Active",,,
"AU-G-C-000248","Class C Marihuana Grower - License","Better Provisioning Center","24 Leonard Wood DR, Battle Creek MI 49037","10/05/2023","Active",,,
"AU-G-C-000247","Class C Marihuana Grower - License","Better Provisioning Center","24 Leonard Wood DR, Battle Creek MI 49037","10/05/2023","Active",,,
"AU-G-C-000246","Class C Marihuana Grower - License","Better Provisioning Center","24 Leonard Wood DR, Battle Creek MI 49037","10/05/2023","Active",,,
"AU-ER-000585","Adult-Use Entity Registration - License","Jefferson Green Inc",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000239","Class C Marihuana Grower - License","Moneylineholdings Limited LLC","651 Eden WAY, Chesaning MI 48616","09/30/2023","Active",,"Public Documents Available",
"AU-G-EX-000123","Excess Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-R-000292","Marihuana Retailer - License","Depot Town Cannabis Company","35 E Cross ST, Ypsilanti MI 48198","09/30/2023","Active",,,
"AU-ER-000582","Adult-Use Entity Registration - License","846 Columbia, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000574","Adult-Use Entity Registration - License","CREATIVE CULTIVATORS, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000517","Adult-Use Entity Registration - License","Mitten Meds, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-EX-000122","Excess Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-G-EX-000121","Excess Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-G-EX-000120","Excess Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-G-EX-000119","Excess Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-G-EX-000118","Excess Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-G-EX-000117","Excess Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-G-EX-000116","Excess Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-G-EX-000115","Excess Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-G-C-000245","Class C Marihuana Grower - License","Root Weaver LLC","3129 E. Laketon AVE, Muskegon MI 49442","09/28/2023","Active",,,
"AU-R-000309","Marihuana Retailer - License","RIZE","1580 N. Stephenson AVE, Iron Mountain MI 49801","09/25/2023","Active",,"Public Documents Available",
"AU-R-000315","Marihuana Retailer - License","Rair","3772 Wilder RD, Bay City MI 48706","03/11/2023","License Void","Home Delivery - Approved","Public Documents Available",
"AU-R-000311","Marihuana Retailer - License","Mint Cannabis","730 E Cork ST, Kalamazoo MI 49001","09/25/2023","Active",,,
"AU-G-C-000220","Class C Marihuana Grower - License","Green Standard Cultivation, LLC","51661 28th AVE, Bangor MI 49013","09/25/2023","Active",,,
"AU-G-C-000221","Class C Marihuana Grower - License","Green Standard Cultivation, LLC","51661 28th AVE, Bangor MI 49013","09/25/2023","Active",,,
"AU-ER-000577","Adult-Use Entity Registration - License","Windgate Transportation, Inc.",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000310","Marihuana Retailer - License","BACCO FARMS","6200 N Dort HWY, Flint MI 48505","09/24/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-ER-000546","Adult-Use Entity Registration - License","Birds of a Feather, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-P-000137","Marihuana Processor - License","Classic Roots Farm","206 West Park DR, Kalkaska MI 49646","07/21/2023","Active",,,
"AU-R-000307","Marihuana Retailer - License","Skymint","11999 Cleveland ST Suite A, Nunica MI 49448","11/27/2023","Active",,,
"AU-ER-000527","Adult-Use Entity Registration - License","STMB Holdings LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000303","Marihuana Retailer - License","Joyology of Wayne","38110 Michigan AVE, Wayne MI 48184","09/21/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-R-000301","Marihuana Retailer - License","Timber Cannabis Co.","313 W. Laketon AVE, Muskegon MI 49441","09/17/2023","Active","Home Delivery - Approved",,
"AU-R-000300","Marihuana Retailer - License","GAGE Cannabis Company","3425 S Martin Luther King Jr. BLVD, Lansing MI 48910","09/17/2023","Active","Home Delivery - Approved",,
"AU-G-B-000113","Class B Marihuana Grower - License","Aunt Sparkie's Inc.","81 Enterprise DR, Vassar MI 48768","09/17/2023","License Void",,"Public Documents Available",
"AU-R-000306","Marihuana Retailer - License","New Standard Exit 9","12261 Cleveland ST Suite B, Nunica MI 49448","01/08/2024","Active","Home Delivery - Approved",,
"AU-G-C-000222","Class C Marihuana Grower - License","Cloud Cover","1239 Tech DR, Webberville MI 48892","02/10/2024","Active",,,
"AU-G-C-000241","Class C Marihuana Grower - License","Trivium Cannabis, LLC","16962 Woodlane DR Suite A, Nunica MI 49448","09/16/2023","Active",,"Public Documents Available",
"AU-R-000302","Marihuana Retailer - License","Pleasantrees Cannabis Company","1950 Merritt RD, East Lansing MI 48823","02/19/2024","Active","Home Delivery - Approved",,
"AU-MB-000100","Marihuana Microbusiness - License","Sticky Bush Farms LLC","20916 Industrial Park DR, Onaway MI 49765","09/16/2022","License Void",,"Public Documents Available",
"AU-ER-000566","Adult-Use Entity Registration - License","Revolution Strains, Inc.",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000530","Adult-Use Entity Registration - License","Michigan GreenWorks, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000291","Marihuana Retailer - License","WAYNE RELEAF","36900 Michigan AVE, Wayne MI 48184","09/14/2023","Active","Home Delivery - Approved",,
"AU-SC-000106","Marihuana Safety Compliance Facility - License","ACT Laboratories Inc.","617 E. Hazel ST, Lansing MI 48912","09/09/2023","Active",,,
"AU-ER-000557","Adult-Use Entity Registration - License","Living Well Laboratories LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000560","Adult-Use Entity Registration - License","Green Bronco II, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000561","Adult-Use Entity Registration - License","East Coastline LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000526","Adult-Use Entity Registration - License","First Class, Inc.",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000235","Class C Marihuana Grower - License","Ottawa Innovations LLC","3041 County Road FFG, Ishpeming MI 49849","09/04/2023","Active",,,
"AU-ST-000118","Marihuana Secure Transporter - License","MSO Transport","200 N 13th ST, Bay City MI 48708","09/04/2022","License Void",,"Public Documents Available",
"AU-R-000305","Marihuana Retailer - License","Northern Specialty Health","902 Razorback DR Suite 10-11, Houghton MI 49931","09/04/2023","Active",,"Public Documents Available",
"AU-ER-000553","Adult-Use Entity Registration - License","Zenyo, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000298","Marihuana Retailer - License","Bloom City Club","1193 E Michigan AVE, Battle Creek MI 49014","09/02/2022","License Void","Home Delivery - Approved","Public Documents Available",
"AU-ER-000550","Adult-Use Entity Registration - License","Root Weaver LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000240","Class C Marihuana Grower - License","AHKI Canna","822 Schuster AVE Suite A, Kalamazoo MI 49001","09/02/2023","Active",,,
"AU-ER-000552","Adult-Use Entity Registration - License","Therapeutic Health Choices, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000236","Class C Marihuana Grower - License","Freedom Green Farms, LLC","1689 Enterprise DR, Kalkaska MI 49646","09/01/2023","Active",,,
"AU-R-000304","Marihuana Retailer - License","Lume Cannabis Co.","15205 Tandem CT, Petersburg MI 49270","11/27/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-R-000293","Marihuana Retailer - License","Bazonzoes","2101 W Willow ST, Lansing MI 48917","08/28/2023","Active","Home Delivery - Approval",,
"AU-R-000294","Marihuana Retailer - License","Nature's Medicines","5405 Cogswell Road, Wayne MI 48184","08/27/2023","Active",,"Public Documents Available",
"AU-ER-000542","Adult-Use Entity Registration - License","RC Labs LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000545","Adult-Use Entity Registration - License","Moneylineholdings Limited, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000299","Marihuana Retailer - License","Green Pharm Kalkaska","764 S. Cedar ST, Kalkaska MI 49646","08/27/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-R-000290","Marihuana Retailer - License","PREMIERE PROVISIONS","710 Perry AVE Unit T, Big Rapids MI 49307","08/26/2023","Active",,,
"AU-R-000295","Marihuana Retailer - License","The Fire Station Cannabis Co.","351 W Washington ST, Marquette MI 49855","12/17/2023","Active",,,
"AU-ER-000543","Adult-Use Entity Registration - License","BRETT TAYLOR ENTERPRISES LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000296","Marihuana Retailer - License","The Hempire Collective","10143 N Loomis RD, Clare MI 48617","08/18/2023","Active","Home Delivery - Approved",,
"AU-ER-000548","Adult-Use Entity Registration - License","Green Bronco, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000227","Class C Marihuana Grower - License","Freddie's LLC","10092 N Dort HWY Suite C, Clio MI 48420","02/07/2024","Active",,"Public Documents Available",
"AU-ER-000540","Adult-Use Entity Registration - License","Freedom Green Farms, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000283","Marihuana Retailer - License","Lake & Leaf","2448 Benzie HWY, Benzonia MI 49616","08/21/2023","Active",,"Public Documents Available",
"AU-R-000286","Marihuana Retailer - License","Ascend Cannabis Group","2019 W Stadium BLVD, Ann Arbor MI 48103","11/27/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-ER-000521","Adult-Use Entity Registration - License","Adams Family Farms, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000541","Adult-Use Entity Registration - License","The Woods Cultivation LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000509","Adult-Use Entity Registration - License","River Flats AG, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000487","Adult-Use Entity Registration - License","IndiGrow LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000194","Class C Marihuana Grower - License","EPS 1 LLC","9234 E. 72nd ST, Reed City MI 49677","06/17/2023","Active",,,
"AU-G-C-000219","Class C Marihuana Grower - License","The Hempire Collective","10147 N Loomis RD, Clare MI 48617","08/18/2023","Active",,,
"AU-G-C-000195","Class C Marihuana Grower - License","EPS I LLC","9234 E. 72nd ST, Reed City MI 49677","06/17/2023","Active",,,
"AU-R-000284","Marihuana Retailer - License","JOYOLOGY OF READING","112 S Main ST, Reading MI 49274","08/14/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-ST-000119","Marihuana Secure Transporter - License","Emerald Secure Transportation LLC","2827 South Cedar ST, Lansing MI 48910","08/14/2023","Active",,,
"AU-R-000287","Marihuana Retailer - License","Dunegrass Co.","28 Arthur ST, Manistee MI 49660","08/14/2023","Active","Home Delivery - Approved",,
"AU-ER-000532","Adult-Use Entity Registration - License","First Property Holdings, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-EX-000109","Excess Marihuana Grower - License","Common Citizen","11300 17 Mile RD, Marshall MI 49068","03/05/2024","Active",,,
"AU-G-EX-000110","Excess Marihuana Grower - License","Common Citizen","11300 17 Mile RD, Marshall MI 49068","03/05/2024","Active",,,
"AU-R-000271","Marihuana Retailer - License","Compassionate Care by Design","4126 Stadium DR, Kalamazoo MI 49008","08/12/2022","License Void","Home Delivery - Approved",,
"AU-ER-000528","Adult-Use Entity Registration - License","Med Farm of Michigan, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000289","Marihuana Retailer - License","Exclusive Kalamazoo","937 Foster AVE, Kalamazoo MI 49048","08/12/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-ER-000531","Adult-Use Entity Registration - License","Holistic Health Wayne, Inc.",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000536","Adult-Use Entity Registration - License","Seneca River LLC",,"09/02/2023","Active - Main Prequalified",,,
"AU-ER-000491","Adult-Use Entity Registration - License","Rocky North, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000533","Adult-Use Entity Registration - License","Emerald Secure Transportation LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ST-000116","Marihuana Secure Transporter - License","Secure Cannabis Transport of Michigan","3110 Turner ST Suite 1-D, Lansing MI 48906","08/11/2021","License Void",,,
"AU-G-C-000223","Class C Marihuana Grower - License","Superior Selections","106 E Smith ST Unit C, Iron Mountain MI 49801","08/10/2023","Active",,"Public Documents Available",
"AU-G-C-000226","Class C Marihuana Grower - License","Golden Harvests LLC","333 Morton ST, Bay City MI 48706","08/10/2023","Active",,"Public Documents Available",
"AU-G-C-000232","Class C Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-G-C-000231","Class C Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,,
"AU-G-C-000230","Class C Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-G-C-000229","Class C Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-G-C-000228","Class C Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-R-000288","Marihuana Retailer - License","Michigan's Finest Cannabis Co.","39112 Van Born RD, Wayne MI 48184","08/10/2023","Active","Home Delivery - Approved",,
"AU-ER-000534","Adult-Use Entity Registration - License","Two Buds, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000285","Marihuana Retailer - License","Jars Cannabis","901 W Main ST, Owosso MI 48867","08/07/2022","License Void","Home Delivery - Approved","Public Documents Available",
"AU-ER-000524","Adult-Use Entity Registration - License","The Pure Lapeer, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000506","Adult-Use Entity Registration - License","MichiCann LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000522","Adult-Use Entity Registration - License","Cross Country Enterprises LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-MEO-000121","Marihuana Event Organizer - License","BIG BHANG EVENTS, LLC","4312 E. Grand River AVE, Howell MI 48843","08/04/2023","Active",,,
"AU-SP-000117","Sole Proprietor Registration - License","Daniel Bailo",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000511","Adult-Use Entity Registration - License","AEY Holdings, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000523","Adult-Use Entity Registration - License","Can-Lab, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000275","Marihuana Retailer - License","The Flower Pot","4347 Page AVE, Michigan Center MI 49254","08/04/2023","Active",,,
"AU-G-C-000218","Class C Marihuana Grower - License","GreenCo Ventures, LLC","8565 S M37 HWY, Hastings MI 49058","08/04/2022","License Void",,,
"AU-G-C-000233","Class C Marihuana Grower - License","Great Lakes Natural Remedies Inc","1711 Banner RD, Saginaw MI 48601","02/12/2021","License Void",,"Public Documents Available",
"AU-R-000282","Marihuana Retailer - License","ELITE WELLNESS JACKSON","6031 Ann Arbor RD, Jackson MI 49201","08/04/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-G-C-000214","Class C Marihuana Grower - License","Green Mitten Agricultural Corporation","34041 County Road 681, Bangor MI 49013","07/31/2023","Active",,"Public Documents Available",
"AU-G-C-000213","Class C Marihuana Grower - License","Green Mitten Agricultural Corporation","34041 County Road 681, Bangor MI 49013","07/31/2023","Active",,"Public Documents Available",
"AU-G-C-000212","Class C Marihuana Grower - License","Green Mitten Agricultural Corporation","34041 County Road 681, Bangor MI 49013","07/31/2023","Active",,"Public Documents Available",
"AU-G-B-000111","Class B Marihuana Grower - License","Exotic Matter","115 Chestnut ST, Kalkaska MI 49646","07/31/2023","Active",,,
"AU-ER-000519","Adult-Use Entity Registration - License","VetForce, Inc.",,"12/21/2023","Active - Main Prequalified",,,
"AU-R-000279","Marihuana Retailer - License","Jars Cannabis 1","7045 S Cedar ST, Lansing MI 48911","07/30/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-R-000278","Marihuana Retailer - License","Premier Provisioning Center #2","664 State RD, Vassar MI 48768","07/29/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-ER-000368","Adult-Use Entity Registration - License","Parkhurst Services LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000200","Class C Marihuana Grower - License","Helios-Lang LLC","4121 Lang RD, Beaverton MI 48612","07/28/2023","Active",,"Public Documents Available",
"AU-G-C-000201","Class C Marihuana Grower - License","Helios-Lang LLC","4121 Lang RD, Beaverton MI 48612","07/28/2023","Active",,"Public Documents Available",
"AU-R-000268","Marihuana Retailer - License","Fire Creek Bay City","3895 N Euclid AVE, Bay City MI 48706","07/28/2022","License Void",,"Public Documents Available",
"AU-G-B-000110","Class B Marihuana Grower - License","Ground Control Michigan","130 Hastings CT, Bangor MI 49013","07/28/2022","License Void",,,
"AU-R-000281","Marihuana Retailer - License","Amsterdam","11280 East Michigan AVE, Battle Creek MI 49014","07/28/2023","Active",,"Public Documents Available",
"AU-G-C-000198","Class C Marihuana Grower - License","REHBEL INDUSTRIES LLC","1305 S Cedar ST, Lansing MI 48910","07/28/2023","Active",,"Public Documents Available",
"AU-ER-000389","Adult-Use Entity Registration - License","BIG BHANG EVENTS, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ST-000117","Marihuana Secure Transporter - License","Future Trust Transport, LLC","3050 Packard ST, Ann Arbor MI 48108","07/28/2023","Active",,"Public Documents Available",
"AU-R-000276","Marihuana Retailer - License","Shango Bay City","3976 Wilder RD, Bay City MI 48706","07/27/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-ER-000514","Adult-Use Entity Registration - License","Apex Ultra Worldwide, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000270","Marihuana Retailer - License","Cannamazoo","4500 W KL AVE, Kalamazoo MI 49006","07/24/2023","Active",,,
"AU-G-C-000215","Class C Marihuana Grower - License","Harbor Farmz","2839 Full Circle DR, Kalamazoo MI 49001","07/23/2023","Active",,,
"AU-P-000134","Marihuana Processor - License","Harbor Farmz","2839 Full Circle DR, Kalamazoo MI 49001","07/23/2023","Active",,,
"AU-G-C-000216","Class C Marihuana Grower - License","Harbor Farmz","2839 Full Circle DR, Kalamazoo MI 49001","07/23/2023","Active",,,
"AU-P-000132","Marihuana Processor - License","Trucenta LLC","23506 John R RD, Hazel Park MI 48030","02/19/2024","Active",,,
"AU-G-C-000217","Class C Marihuana Grower - License","OakPharma LLC","1750 E South ST, Owosso MI 48867","07/23/2023","Active",,,
"AU-ER-000510","Adult-Use Entity Registration - License","North Coast Testing Laboratories of Michigan, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000265","Marihuana Retailer - License","Cannabis Lupus Cafe LLC","300 M-553, Marquette MI 49855","07/22/2022","License Void",,"Public Documents Available",
"AU-ER-000472","Adult-Use Entity Registration - License","D. C. Consulting Services, Inc.",,"11/29/2023","Active - Main Prequalified",,,
"AU-R-000253","Marihuana Retailer - License","GLH Cannabis Company","1210 East Columbia AVE, Battle Creek MI 49014","07/22/2023","Active",,"Public Documents Available",
"AU-G-C-000184","Class C Marihuana Grower - License","Classic Roots Farm","206 West Park DR, Kalkaska MI 49646","07/21/2023","Active",,,
"AU-ER-000503","Adult-Use Entity Registration - License","Emmons & Associates II, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000272","Marihuana Retailer - License","Compassionate Care by Design","401 N Sage ST, Kalamazoo MI 49006","07/21/2023","Active",,,
"AU-R-000267","Marihuana Retailer - License","Skymint - District Park","20940 John R RD, Hazel Park MI 48030","07/21/2023","Active","Home Delivery - Approved",,
"AU-SC-000105","Marihuana Safety Compliance Facility - License","THE SPOTT","550 E Cork ST, Kalamazoo MI 49001","07/21/2023","License Void",,"Public Documents Available",
"AU-G-C-000187","Class C Marihuana Grower - License","Dragonfly Vega","26980 County Road 215, Arlington MI 49013","07/21/2023","Active",,,
"AU-G-C-000186","Class C Marihuana Grower - License","Dragonfly Vega","26980 County Road 215, Arlington MI 49013","07/21/2023","Active",,,
"AU-G-C-000185","Class C Marihuana Grower - License","Dragonfly Vega","26980 County Road 215, Arlington MI 49013","07/21/2023","Active",,,
